descricao_produto_preco_minimo;id_produto;uf;regionalizacao;ano_inicio_vigencia;mes_incio_vigencia;ano_termino_vigencia;mes_termino_vigencia;preco;dsc_unidade_comercializacao;nome_normativo;url
CACAU CULTIVADO (AMÊNDOA)               ;9930;CE;CE             ;2014;07;2015;06;5.59;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU CULTIVADO (AMÊNDOA)               ;9930;CE;CE             ;2015;07;2016;06;5.59;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU CULTIVADO (AMÊNDOA)               ;9930;CE;CE             ;2016;07;2017;06;5.77;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;CE;CE             ;2017;07;2018;06;6.48;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;CE;CE             ;2018;07;2019;06;7.3;kg                                                          ;PORTARIA Nº 135, DE 12 DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_935.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;CE;CE             ;2019;07;2020;06;8.37;kg                                                          ;PORTARIA Nº 135, DE 12 DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_135.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;CE;CE             ;2020;07;2021;06;7.39;kg                                                          ;PORTARIA Nº 190, DE 9 DE JUNHO;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2020_PRT_190.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;CE;CE             ;2021;07;2022;06;9.14;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_201.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;CE;CE             ;2022;07;2023;06;12.99;kg                                                          ;PORTARIA MAPA Nº 452, DE 4 DE ;https://biblioteca.conab.gov.br/phl82/pdf/legislacao/2022_PRT_452.pdf
CACAU CULTIVADO (AMÊNDOA)               ;9930;CE;CE             ;2023;07;2024;06;16.1;kg                                                          ;PORTARIA MAPA Nº 595, DE 4 DE ;https://www.in.gov.br/web/dou/-/portaria-mapa-n-595-de-4-de-julho-de-2023-494540705
CACAU CULTIVADO (AMÊNDOA)               ;9930;CE;CE             ;2024;07;2025;06;15.37;kg                                                          ;PORTARIA MAPA Nº 700, DE 15 DE;https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-700-de-15-de-julho-de-2024-572339980
CACAU CULTIVADO (AMÊNDOA)               ;9930;DF;DF             ;2014;07;2015;06;4.74;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU CULTIVADO (AMÊNDOA)               ;9930;DF;DF             ;2015;07;2016;06;4.74;kg                                                          ;PORTARIA Nº 201, DE 1º DE JULH;NI
CACAU CULTIVADO (AMÊNDOA)               ;9930;DF;DF             ;2016;07;2017;06;5.07;kg                                                          ;PORTARIA Nº  1.577, DE 17 DE J;http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf
